ExpHydro,ExpDeficit2,WcFlood,ExpRecovery
-59.23410866,24.51879413,1.967558476,5.319451815
-57.53687693,24.95862082,1.997203046,4.440855736
-59.04807094,53.40505329,1.847502094,4.981596023
-58.06888714,43.16209982,0.980263225,5.380261291
-58.02851608,45.74300562,0.939901827,5.605858514
-52.34601634,78.26371455,0.276966467,3.989049215
-57.02301393,49.44980083,0.964369458,4.981649495
-53.08540579,79.89678373,0.43480098,3.947428139
-56.52051541,23.65729806,1.273771092,5.499133405
-59.03546581,51.90795631,1.648021304,5.974138636
-57.11407188,50.65164583,1.794120524,3.999770851
-56.53378769,23.43099949,1.203372443,5.621442785
-58.66201756,48.82069118,1.282004005,5.977521898
-56.61502624,82.68263047,1.43946423,3.961451407
-57.47210315,24.16611268,1.913959582,4.487975794
-55.92208142,64.64786472,1.120682327,3.978721595
-56.54926196,71.45244283,1.589941532,3.929380098
-55.55810936,56.74904865,1.79123121,3.417147225
-56.29008774,45.60871646,1.896616727,3.47215136
-56.50628494,41.3365624,1.998220259,3.460710917
-57.56653366,66.60108323,1.08691999,4.932555231
-56.36055319,77.64266863,1.229645703,3.976043795
-57.02087333,93.01782871,1.721882013,3.997194661
-53.50896194,72.10028788,0.735789215,3.86114326
-54.78112521,66.10642016,0.79966158,4.255657143
-54.15164883,75.03219555,0.579308486,4.264328821
-52.89018601,79.16549366,0.339475942,3.955134524
-59.04412154,41.13266026,1.789870064,5.468678824
-55.72726842,48.08043556,1.338421465,3.99594029
-56.62634757,46.69246316,0.936004084,4.793612302
-49.06769672,195.72027,1.463037296,3.412727151
-53.51326599,97.61954988,0.499617697,4.462052425
-58.01119288,41.90162852,1.396050835,4.49351526
-57.06740261,46.74295029,0.549171003,5.792795024
-50.32521149,109.19813,1.652014588,3.496998785
-57.05429603,69.74615098,0.398803599,5.98103254
-58.53374023,42.39851279,1.395326621,5.427135317
-51.50465265,81.24988254,0.003118652,4.873608838
-48.52428576,209.7757957,1.429828325,3.432963301
-54.53528659,67.0691755,0.844298905,3.95372891
-52.07012607,97.25422953,0.110800565,4.927385334
-56.03418066,46.17731415,0.043898119,6.231261905
-55.11085723,76.47282582,0.910726242,3.955416622
-57.52490863,24.15305775,1.33925134,6.210973232
-55.54229968,35.81581715,1.845373128,3.446946069
-54.33270235,59.53800023,0.789256077,3.986589838
-58.50945917,39.13314072,1.539015895,4.965650685
-57.50229729,45.39440701,1.239788054,4.461685317
-54.09035263,40.51382781,0.740732196,4.447578713
-53.57459268,74.22859588,0.52769066,4.460115543
-53.02030424,43.15914724,0.444898329,4.999839683
-54.62011327,46.07925756,1.028978313,3.909907242
-49.68947941,147.3486585,1.59975285,3.46180592
-48.49956067,246.5265393,1.385870727,3.413811008
-57.04473162,61.29894738,1.123175919,4.473199603
-56.54860398,46.69031144,0.388473575,5.979594048
-57.50307677,49.36712563,0.947195751,5.462190693
-57.1420907,46.03786631,0.771520106,5.427586508
-56.03698508,41.96593863,1.642579302,3.899141262
-55.51126413,55.55601801,0.837359591,4.411725758
-54.24340711,45.13711334,0.595632856,4.858019084
-54.73557246,63.11865634,0.530865839,4.98272619
-56.55393049,49.02301051,0.992258512,4.439115043
-57.53927386,48.48806794,1.845501124,3.948228463
-57.534015,46.51430317,1.149937394,4.977078968
-57.09610728,24.25834912,1.139885958,6.203644841
-56.28708872,49.17864972,0.282868229,5.984482143
-57.63400148,23.07618846,1.388745921,5.995341234
-56.70135781,48.49242413,0.644421335,5.46583741
-55.05398369,61.7597555,0.633987411,4.98838254
-58.01720582,23.8871669,1.484369873,6.086726732
-56.55823788,61.67023343,0.574048488,5.41994632
-54.61505056,47.5930424,0.649653389,4.919573704
-56.46517576,59.88163587,0.545622224,5.448049459
-56.54961725,49.61576467,0.324660664,6.249730159
-51.52229226,67.11535403,0.051529252,4.67374743
-51.25297435,69.45888744,0.044569723,4.478456685
-52.51741403,66.99467911,0.214213714,4.353197733
-52.30005844,68.81724596,0.178718395,4.390940611
-54.07352921,62.56783348,1.735533582,3.462624489
-52.56009765,47.33650707,0.291963138,4.976665601
-54.50313044,43.98370577,0.208545847,5.497856349
-53.69125357,69.85026467,0.384103658,4.638805517
-52.76764532,117.9927811,0.136617518,5.480361291
-55.21243492,37.14697328,0.03484435,5.974636436
-53.06732845,67.23369594,0.34214095,4.418830106
-57.58614809,57.39518794,0.899939619,5.821850794
-52.00817471,62.52173365,0.096066162,5.415089832
-55.55167841,48.02178125,0.094062779,5.953631746
-56.03113249,39.68682294,0.586086022,5.498586616
-55.82847184,40.92035881,0.349868572,5.445129762
-56.08793314,38.18375779,0.848130596,4.977824936
-55.15613384,108.1242342,0.206856448,5.488331421
-59.5412145,73.85208136,1.829049066,5.771237085
-53.24926834,112.2038974,0.151849917,5.402817677
-59.50536112,49.94386304,1.895041368,5.234621429
-51.12223131,110.9936956,1.843030809,2.972341055
-52.02363898,124.4173369,1.949135412,2.921928674
-52.66186964,131.019926,2.01103678,2.968284577
-58.01244322,40.9904859,2.09181488,3.974398575
-5.95E+01,7.39E+01,1.83E+00,5.77E+00
-4.85E+01,2.47E+02,1.39E+00,3.41E+00
-5.66E+01,2.29E+01,1.74E+00,4.98E+00
-4.85E+01,2.47E+02,1.39E+00,3.41E+00
-5.20E+01,1.24E+02,1.95E+00,2.92E+00
-5.65E+01,4.96E+01,3.25E-01,6.25E+00
-5.15E+01,8.12E+01,3.12E-03,4.87E+00
-5.80E+01,4.10E+01,2.09E+00,3.97E+00
