WcAvgHydro,WcAvgDeficit,WcAvgFlood
-56.30358364,88.90946391,62321.55967
-56.30576619,92.73565919,58641.26412
-53.46547925,29.2619887,17842.11625
-56.00068332,75.49346507,53860.77195
-53.51031332,29.77805658,17937.00211
-54.50060643,37.80445552,18589.84117
-56.02151778,1689.460459,44058.06007
-56.30727836,84.44127231,72959.65436
-54.04072165,32.13426491,17985.29161
-53.99703705,28.36093971,18369.27396
-54.43022508,34.55802818,18399.90684
-54.35156876,29.33737285,21012.04468
-52.74517426,38.91310028,16194.64827
-54.03328508,24.87785719,45302.97149
-54.65670477,29.92145007,28933.63657
-53.50036207,34.60720686,17729.10761
-55.08648014,29.5850787,82667.04601
-54.026282,28.22417468,18672.29249
-53.11902284,34.15149803,16766.85221
-54.52816763,34.78673112,19732.73711
-52.76251133,43.85549215,15806.80487
-53.10290292,46.18713021,15584.92242
-54.82537458,28.07502083,48165.06779
-56.00951909,1723.756663,43954.11582
-56.50134683,151.5756124,67739.24768
-56.30800679,69.23222542,81675.95737
-56.51311442,147.8431283,75057.51961
-55.8084747,308.8288557,27988.60763
-56.3022496,72.61412504,81199.57918
-56.50212466,203.4822482,67007.27266
-56.32292016,189.3647133,57270.47611
-56.30557441,159.7956871,57940.79974
-56.31099209,2003.257608,51391.60987
-53.01137897,61.45762225,14994.55797
-52.93060168,54.96185833,14925.14074
-53.34585196,55.69805541,15658.96949
-56.00358181,2139.273207,35197.82617
-56.00275971,2015.52291,38623.57502
-52.44114234,59.14501291,14527.29157
-52.78035729,56.49389562,14770.62036
-56.01308698,59.73530715,59120.17159
-56.01629128,2177.753642,34920.35817
-56.03819928,89.92841644,53041.16881
-56.00770991,64.39763261,56935.14371
-56.02461506,96.47641749,50651.33395
-56.01536128,90.39468569,51511.20039
-56.28220905,1464.815781,51571.90155
-56.25529722,1452.802929,51950.6233
-56.30631349,992.217801,56009.57369
-56.04773805,69.38507138,54255.94048
-55.04057499,34.16940799,54469.96601
-56.01222409,54.92353691,67923.22069
-54.80940065,153.6845321,17538.61834
-53.09086828,58.33950974,15355.1067
-56.02112203,268.0446385,47239.87818
-56.01345139,252.3669315,50445.02401
-54.56016682,119.4792106,16903.06854
-54.02662671,44.03725614,16621.97375
-55.80714149,106.2629923,30504.8328
-56.00825069,264.2675128,49348.15505
-53.78694537,44.3258364,16272.5171
-55.54419103,78.22938306,19678.66731
-55.80163919,49.15247,55039.22685
-55.32038297,54.95661803,19922.18114
-56.01996638,84.86008599,53305.43419
-54.5118298,46.66891675,17282.99553
-55.51437969,68.86711466,20013.34273
-54.52007168,42.4586324,17774.60375
-55.02499826,49.94015687,18438.39176
-55.6073538,49.60975295,29377.84091
-55.83957517,44.62814965,57687.71048
-55.52376298,44.66736009,33557.31398
-54.10448491,109.0515687,16022.8174
-55.53808395,54.11351284,25516.79466
-55.50169246,39.96073416,60600.55639
-54.80617018,39.70260139,19876.19802
-55.83575328,54.66302203,32545.96381
-54.80634942,44.73809532,18702.78493
-55.82631633,55.10100709,31200.36024
-55.33147407,48.00574633,22851.98792
-55.26092736,39.84586692,50269.68002
-55.03358564,43.36959895,19801.43266
-53.79075667,48.32435158,16199.15914
-55.300984,66.15811631,18630.86819
-54.34947075,44.42832309,17137.56781
-53.46031754,50.92049657,15940.66022
-54.07304955,38.78656772,17059.33015
-54.8145971,48.92891117,18060.04733
-54.97503282,67.95956002,17871.67702
-54.44414759,50.81285777,17000.45743
-55.03547688,80.48097887,17859.69883
-55.02355954,52.6243545,18051.02114
-55.41200665,64.53194342,19797.48045
-55.50448315,55.6233891,21479.30637
-50.88388745,97.78205543,14285.90457
-55.04743429,39.13777717,24526.83047
-54.01083649,94.31750674,16482.18069
-55.40622443,44.82449196,23962.98789
-5.67E+01,2.04E+03,8.23E+04
-5.09E+01,9.78E+01,1.43E+04
-5.41E+01,2.45E+01,5.21E+04
-5.60E+01,2.18E+03,3.49E+04
-5.09E+01,9.78E+01,1.43E+04
-5.67E+01,2.01E+03,8.61E+04
